Row and columns length 784
4
Normal ideals length: 46
Training Inputs: 1000
Training Inputs Length: 784
Training ideals: 1000
Training ideals length: 46
Started: Sun Dec 11 03:44:02 EST 2022
total layers: 3 neurons: 1232
784
46
   epoch  error
       1 1.2232
     100 0.2543
     200 0.2536
     300 0.2533
     400 0.2530
     500 0.2528
     600 0.2526
     700 0.2525
     800 0.2524
     900 0.2523
    1000 0.2521
    1100 0.2519
    1200 0.2519
    1300 0.2517
    1400 0.2515
    1500 0.2515
    1600 0.2514
    1700 0.2513
    1800 0.2512
    1900 0.2511
    2000 0.2511
    2100 0.2510
    2200 0.2509
    2300 0.2508
    2400 0.2507
    2500 0.2507
    2600 0.2506
    2700 0.2505
    2800 0.2504
    2900 0.2503
    3000 0.2502
    3100 0.2501
    3200 0.2500
    3300 0.2499
    3400 0.2498
    3500 0.2497
    3600 0.2496
    3700 0.2494
    3800 0.2493
    3900 0.2493
    4000 0.2492
    4100 0.2491
    4200 0.2491
    4300 0.2490
    4400 0.2489
    4500 0.2488
    4600 0.2487
    4700 0.2486
    4800 0.2485
    4900 0.2485
    5000 0.2484
    5100 0.2483
    5200 0.2483
    5300 0.2482
    5400 0.2482
    5500 0.2481
    5600 0.2480
    5700 0.2480
    5800 0.2479
    5900 0.2479
    6000 0.2479
    6100 0.2478
    6200 0.2477
    6300 0.2476
    6400 0.2476
    6500 0.2475
    6600 0.2474
    6700 0.2473
    6800 0.2473
    6900 0.2472
    7000 0.2471
    7100 0.2471
    7200 0.2470
    7300 0.2469
    7400 0.2468
    7500 0.2468
    7600 0.2467
    7700 0.2467
    7800 0.2466
    7900 0.2465
    8000 0.2463
    8100 0.2462
    8200 0.2462
    8300 0.2461
    8400 0.2461
    8500 0.2460
    8600 0.2459
    8700 0.2459
    8800 0.2458
    8900 0.2457
    9000 0.2457
    9100 0.2456
    9200 0.2455
    9300 0.2455
    9400 0.2454


TERMINATED: 12/11/2022 1:05 PM
